2017 International Subject Based Fees Fees, EFTSL values and Census Dates
ABPL90268 2 Building Envelopes September September Parkville 0.125 25‐Sep‐17 $4,748.00
ABPL90271 1 Shaping the Landscape Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90272 2 Regenerating Sustainability Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90273 1 Urban Design Studio B Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90273 1 Urban Design Studio B Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90274 1 Property Markets and Valuations Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90275 1 Property Resources and Management Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90279 2 Cities Without Slums July July Parkville 0.125 21‐Jul‐17 $4,748.00
ABPL90281 2 Housing Markets, Policy and Planning Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90282 2 Principles of Heritage and Conservation March March Parkville 0.125 17‐Mar‐17 $4,748.00
ABPL90283 2 Performative Ecologies Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90284 1 Master of Architecture Studio A Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90285 1 Master of Architecture Studio B Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90286 1 Construction Methods A Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90287 2 Architectural Technology Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90288 1 Architectural Cultures 1: Modernism Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90289 1 Architectural Cultures 2:After Modernism Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90290 1 Fundamentals of Built Environment Law Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90292 2 Construction of Buildings Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90293 1 Commercial Construction Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90295 1 Construction Regulations and Control Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90296 5 Travelling Studio (Shanghai) February February Parkville 0.25 17‐Mar‐17 $9,496.00
ABPL90297 6 Unliveable Berlin Studio Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90303 1 Facilities for Social Sustainability Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90304 2 Flexible Urban Modelling Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90305 1 Design Research Summer Term Summer Term Parkville 0.125 17‐Feb‐17 $4,748.00
ABPL90306 1 MUP Independent Study Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90306 1 MUP Independent Study Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90306 1 MUP Independent Study Summer Term Summer Term Parkville 0.125 13‐Jan‐17 $4,748.00
ABPL90307 2 MSD Vocational Placement February February A Parkville 0.125 24‐Mar‐17 $4,748.00
ABPL90307 2 MSD Vocational Placement February February B Parkville 0.125 17‐Mar‐17 $4,748.00
ABPL90307 2 MSD Vocational Placement January January C Parkville 0.125 17‐Feb‐17 $4,748.00
ABPL90307 2 MSD Vocational Placement January January A Parkville 0.125 13‐Jan‐17 $4,748.00
ABPL90307 2 MSD Vocational Placement January January B Parkville 0.125 10‐Feb‐17 $4,748.00
ABPL90307 2 MSD Vocational Placement Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90307 2 MSD Vocational Placement Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90307 2 MSD Vocational Placement Summer Term Summer Term Parkville 0.125 20‐Jan‐17 $4,748.00
ABPL90308 1 Experiences in Industry Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90309 1 Supply Chains in Construction Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90312 1 Cost Management Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90313 1 Management of Construction Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90314 1 Property Agency and Marketing (PG) Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90315 1 Urban Governance Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90316 1 The Shaping of Urban Design Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90319 1 GIS In Planning, Design & Development Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90320 2 Building Resilient Settlements November November Parkville 0.125 24‐Nov‐17 $4,748.00
ABPL90321 2 Building the Brief: People Process Place July July Parkville 0.125 4‐Aug‐17 $4,748.00
ABPL90322 1 Human Environments Relations June June Parkville 0.125 26‐Jun‐17 $4,748.00
ABPL90323 1 Construction Scheduling Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90324 1 Materials and Structures Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90325 1 Prefabrication in Building Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90327 1 Procurement Methods Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90330 1 Economics of Building Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90331 1 ICT in Building Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90332 1 Labour in Construction July July Parkville 0.125 4‐Aug‐17 $4,748.00
ABPL90334 1 Means and Methods in Construction Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90335 1 Contract Management Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90336 2 Craft in Traditional Asian Architecture Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90337 3 Managing Urban Landscapes July July Burnley 0.125 14‐Jul‐17 $4,748.00
ABPL90339 1 International Real Estate Economics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90340 1 Landscape Materialities Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90341 1 Urban Environmental Policy and Planning Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90355 1 Issues and Techniques in Global Heritage August August Parkville 0.125 8‐Sep‐17 $4,748.00
ABPL90356 1 Bower Studio Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90357 2 Form and Politics in Architecture Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90358 1 Research in Construction Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90359 1 Research Practicum in Construction Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90360 1 MUCH Heritage Industry Internship Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90361 2 Ex‐Lab: Digital Furniture Fabrication Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90361 2 Ex‐Lab: Digital Furniture Fabrication Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90362 1 Research Thesis ‐ Property Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90363 1 Property Research and Analysis Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90364 2 Industry Based Research ‐ Property Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90366 1 Urban Informatics September September Parkville 0.125 13‐Oct‐17 $4,748.00
ABPL90367 1 Critical&Curatorial Practices in Design Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90368 1 Architecture and Media Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90369 1 Architecture as Spectacle Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90370 1 Design Management Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90371 1 Design Activism September September Parkville 0.125 6‐Oct‐17 $4,748.00
ABPL90375 1 Landscape Architecture Design Thesis Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90375 1 Landscape Architecture Design Thesis Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90376 1 Urban Design Thesis Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90376 1 Urban Design Thesis Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90377 1 Design for Ageing Term 2 Term 2 (Online) Parkville 0.125 28‐Apr‐17 $4,748.00
ABPL90378 1 Tectonic Grounds Summer Term Summer Term Parkville 0.125 10‐Feb‐17 $4,748.00
ABPL90380 1 Designing for Heat in the Public Domain November November Parkville 0.125 1‐Dec‐17 $4,748.00
ABPL90381 1 Urban and Cultural Heritage Internship Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90381 1 Urban and Cultural Heritage Internship Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90382 1 Urban and Cultural Heritage Minor Thesis Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90382 1 Urban and Cultural Heritage Minor Thesis Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90383 1 Urban & Cultural Heritage Research Proj Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90383 1 Urban & Cultural Heritage Research Proj Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90384 1 MUP Studio Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90384 1 MUP Studio Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90385 1 Applied Heritage Conservation Techniques July July Parkville 0.125 21‐Jul‐17 $4,748.00
ABPL90386 1 AA Visiting School Graduate Winter Term Winter Term Parkville 0.125 7‐Jul‐17 $4,748.00
ABPL90388 1 Polemic Design in China Japan Korea Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90389 1 Urban Design Studio C Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90389 1 Urban Design Studio C Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
